Frames,Deflection,time_stamp
29,-6.375,1686761039432429056
29,7.625,1686761039433707520
30,-5.375,1686761039478809088
30,7.625,1686761039479800832
32,-7.375,1686761039572368896
32,5.625,1686761039573366272
37,-7.375,1686761039808819456
37,8.625,1686761039809811456
38,-5.375,1686761039855218176
38,6.625,1686761039856178432
44,-6.375,1686761040136034304
44,4.625,1686761040136034304
45,-5.375,1686761040182743808
45,5.625,1686761040184644608
46,-5.375,1686761040229329408
46,5.625,1686761040229329408
47,-5.375,1686761040274701312
47,5.625,1686761040275698944
48,-5.375,1686761040322502400
48,5.625,1686761040323299584
49,5.625,1686761040371287040
49,-4.375,1686761040371287040
50,-5.375,1686761040419626496
50,5.625,1686761040419626496
51,-5.375,1686761040465508096
51,5.625,1686761040465508096
52,-4.375,1686761040514873088
52,6.625,1686761040514873088
53,-4.375,1686761040562339072
53,6.625,1686761040563663360
54,-4.375,1686761040608171264
54,6.625,1686761040609234688
56,6.625,1686761040701332992
56,-4.375,1686761040702329344
57,-4.375,1686761040751220992
57,6.625,1686761040751220992
58,-4.375,1686761040795105280
58,7.625,1686761040795105280
60,-4.375,1686761040889272064
60,6.625,1686761040890270464
64,6.625,1686761041114900480
64,-5.375,1686761041116896768
65,7.625,1686761041172745472
65,-3.375,1686761041173743104
66,7.625,1686761041226112256
66,-3.375,1686761041228108800
67,-5.375,1686761041285854720
67,5.625,1686761041286852096
68,-5.375,1686761041331245312
68,6.625,1686761041331245312
69,7.625,1686761041378119424
69,-4.375,1686761041379121152
70,7.625,1686761041423506176
70,-3.375,1686761041424510208
72,-4.375,1686761041518513664
72,7.625,1686761041518513664
73,-4.375,1686761041563403008
73,7.625,1686761041563403008
74,-4.375,1686761041614769920
74,7.625,1686761041615770368
77,-4.375,1686761041776577024
77,7.625,1686761041776577024
78,-4.375,1686761041830795008
78,7.625,1686761041831791360
79,-4.375,1686761041878669056
79,7.625,1686761041879663104
80,-4.375,1686761041924850176
80,7.625,1686761041925843200
81,-4.375,1686761041969763584
81,7.625,1686761041969763584
82,-5.375,1686761042022105600
82,7.625,1686761042022105600
84,-4.375,1686761042114372352
84,7.625,1686761042114372352
85,-4.375,1686761042161240576
85,7.625,1686761042162237696
86,-4.375,1686761042209117696
86,7.625,1686761042210112512
90,-6.375,1686761042452174848
90,6.625,1686761042453169408
91,-7.375,1686761042513532928
91,5.625,1686761042513532928
92,-5.375,1686761042586337280
92,7.625,1686761042586337280
96,-4.375,1686761042872148992
96,8.625,1686761042875141120
97,-4.375,1686761042939502848
97,8.625,1686761042940501248
105,7.625,1686761043460549888
105,-4.375,1686761043461550080
106,-4.375,1686761043524902400
106,7.625,1686761043525890816
110,8.625,1686761043769280256
110,-4.375,1686761043770278400
111,8.625,1686761043823675136
111,-3.375,1686761043824672768
112,7.625,1686761043867559680
112,-5.375,1686761043867559680
117,-4.375,1686761044097367808
117,7.625,1686761044098364416
118,-6.375,1686761044143305728
118,6.625,1686761044144273408
120,7.625,1686761044238304256
120,-5.375,1686761044238304256
121,-4.375,1686761044286927872
121,8.625,1686761044286927872
122,-6.375,1686761044332658688
122,6.625,1686761044332658688
123,6.625,1686761044378191872
123,-5.375,1686761044378191872
125,5.625,1686761044470226432
125,-7.375,1686761044471193600
126,-4.375,1686761044522467328
126,9.625,1686761044523464704
127,-4.375,1686761044570431744
127,9.625,1686761044571429632
128,-5.375,1686761044615400960
128,8.625,1686761044615400960
129,7.625,1686761044660780800
129,-5.375,1686761044660780800
130,8.625,1686761044706402816
130,-5.375,1686761044707368704
477,-4.375,1686761061704911104
477,7.625,1686761061704911104
478,-5.375,1686761061754296320
478,7.625,1686761061755271424
499,-4.375,1686761062744070912
499,7.625,1686761062745067264
500,-4.375,1686761062791926784
500,7.625,1686761062792924160
504,-5.375,1686761062981451776
504,7.625,1686761062982450688
506,-4.375,1686761063080702208
506,7.625,1686761063081698816
514,-5.375,1686761063517194496
514,6.625,1686761063518193920
519,-7.375,1686761063751785472
519,5.625,1686761063752785152
520,-7.375,1686761063809634816
520,5.625,1686761063809634816
521,-6.375,1686761063857601024
521,5.625,1686761063858597376
523,-7.375,1686761063973802240
523,5.625,1686761063973802240
541,-6.375,1686761064969996288
541,5.625,1686761064970993920
545,-7.375,1686761065169493504
545,5.625,1686761065170490880
553,-6.375,1686761065545584896
553,5.625,1686761065545584896
557,-7.375,1686761065732226048
557,5.625,1686761065733223424
558,-7.375,1686761065783604224
558,5.625,1686761065783604224
559,-6.375,1686761065827486208
559,5.625,1686761065828485888
563,-6.375,1686761066020015360
563,5.625,1686761066021012224
567,6.625,1686761066242455552
567,-6.375,1686761066242455552
568,-7.375,1686761066298826240
568,5.625,1686761066299822592
570,-7.375,1686761066390918912
570,5.625,1686761066391920384
576,-10.375,1686761066684685824
576,3.625,1686761066684685824
701,-5.375,1686761072668276224
701,7.625,1686761072669273600
703,-4.375,1686761072762470912
703,7.625,1686761072763531264
707,-4.375,1686761072950391808
707,7.625,1686761072951388416
711,-5.375,1686761073138089216
711,6.625,1686761073139086592
712,-5.375,1686761073187266048
712,6.625,1686761073187266048
713,-5.375,1686761073234136320
713,6.625,1686761073234136320
719,-3.375,1686761073514847488
719,7.625,1686761073516168704
720,-4.375,1686761073562002688
720,6.625,1686761073562002688
731,-4.375,1686761074071234304
731,6.625,1686761074072235776
732,-5.375,1686761074121106944
732,6.625,1686761074121106944
734,6.625,1686761074217365760
734,-5.375,1686761074217365760
744,-4.375,1686761074728085504
744,7.625,1686761074728085504
746,-5.375,1686761074832902656
746,6.625,1686761074833900800
751,-4.375,1686761075102260992
751,7.625,1686761075102260992
764,-6.375,1686761075819190016
764,5.625,1686761075819190016
770,-7.375,1686761076130893568
770,4.625,1686761076131890432
771,-6.375,1686761076183161344
771,4.625,1686761076184156928
772,-6.375,1686761076245991168
772,4.625,1686761076246989568
774,-6.375,1686761076355536128
774,4.625,1686761076356533504
793,-6.375,1686761077372722176
793,4.625,1686761077373725440
796,-7.375,1686761077535995648
796,4.625,1686761077536992768
797,-7.375,1686761077600340992
797,7.625,1686761077600340992
799,-6.375,1686761077709568000
799,5.625,1686761077710563328
800,-7.375,1686761077766418176
800,4.625,1686761077766418176
807,-6.375,1686761078102584576
807,4.625,1686761078103572736
809,-7.375,1686761078206814976
809,4.625,1686761078207814400
815,-6.375,1686761078491381504
815,5.625,1686761078492378624
820,-9.375,1686761078741743360
820,2.625,1686761078742741504
946,-4.375,1686761084622722816
946,7.625,1686761084624251904
947,6.625,1686761084671508992
947,-5.375,1686761084672508416
948,5.625,1686761084717528064
948,-6.375,1686761084717528064
958,-5.375,1686761085194116608
958,6.625,1686761085195288064
959,-5.375,1686761085240565504
959,6.625,1686761085241558016
964,-5.375,1686761085469842176
964,6.625,1686761085470278400
975,-5.375,1686761085982404096
975,9.625,1686761085982404096
976,6.625,1686761086028688384
976,-4.375,1686761086028688384
982,-5.375,1686761086315065600
982,9.625,1686761086315977728
983,-5.375,1686761086360621312
983,6.625,1686761086361608448
986,-5.375,1686761086500951552
986,6.625,1686761086501948416
990,-4.375,1686761086688408576
990,6.625,1686761086689666304
993,-5.375,1686761086844477696
993,9.625,1686761086844477696
999,6.625,1686761087135774464
999,-5.375,1686761087136770816
1000,-5.375,1686761087182842624
1000,6.625,1686761087183837952
1001,-5.375,1686761087230295552
1001,6.625,1686761087231290880
1002,-4.375,1686761087277729792
1002,6.625,1686761087277729792
1003,-6.375,1686761087322550016
1003,5.625,1686761087322550016
1006,-5.375,1686761087464474112
1006,6.625,1686761087465463552
1007,-7.375,1686761087511273472
1007,5.625,1686761087511273472
1008,-6.375,1686761087554499584
1008,5.625,1686761087555499520
1012,-6.375,1686761087744486912
1012,5.625,1686761087744486912
1017,-7.375,1686761087982053120
1017,4.625,1686761087982053120
1032,-6.375,1686761088685783296
1032,4.625,1686761088685783296
1036,-6.375,1686761088872276224
1036,4.625,1686761088873270272
1045,-7.375,1686761089292222720
1045,4.625,1686761089292222720
1047,-6.375,1686761089384534528
1047,4.625,1686761089385531904
1048,-7.375,1686761089430807296
1048,4.625,1686761089431777792
1049,-7.375,1686761089477185536
1049,4.625,1686761089477185536
1053,-7.375,1686761089668393728
1053,4.625,1686761089668393728
1054,-6.375,1686761089714457344
1054,4.625,1686761089715446272
1055,-7.375,1686761089763670528
1055,4.625,1686761089763670528
1056,-7.375,1686761089809030656
1056,4.625,1686761089810027520
1058,-6.375,1686761089908231424
1058,4.625,1686761089909228800
1059,-7.375,1686761089955203584
1059,4.625,1686761089955203584
1062,-7.375,1686761090090985728
1062,4.625,1686761090090985728
1063,-7.375,1686761090135524352
1063,4.625,1686761090136670720
1064,-8.375,1686761090184348928
1064,3.625,1686761090185345792
1190,-5.375,1686761096219212288
1190,7.625,1686761096220023552
1192,-7.375,1686761096312768768
1192,4.625,1686761096314754304
1195,-4.375,1686761096455659520
1195,7.625,1686761096455659520
1196,-5.375,1686761096501347328
1196,6.625,1686761096502355712
1197,-6.375,1686761096548629504
1197,5.625,1686761096548629504
1198,-6.375,1686761096597296128
1198,5.625,1686761096597296128
1199,-5.375,1686761096644162560
1199,6.625,1686761096644162560
1205,-5.375,1686761096930059520
1205,6.625,1686761096931059200
1208,-5.375,1686761097072994560
1208,9.625,1686761097072994560
1209,-5.375,1686761097120791808
1209,9.625,1686761097122223616
1211,-3.375,1686761097215851776
1211,7.625,1686761097215851776
1216,-5.375,1686761097450754304
1216,9.625,1686761097451733760
1219,-5.375,1686761097594563584
1219,6.625,1686761097595041024
1226,-6.375,1686761097925925120
1226,5.625,1686761097925925120
1228,-5.375,1686761098021345280
1228,6.625,1686761098021345280
1237,-5.375,1686761098450189056
1237,6.625,1686761098451192320
1243,-4.375,1686761098731549440
1243,7.625,1686761098733039104
1245,-6.375,1686761098824856576
1245,5.625,1686761098825821184
1250,-7.375,1686761099059917824
1250,4.625,1686761099061881088
1251,-6.375,1686761099104836864
1251,4.625,1686761099106112256
1252,-6.375,1686761099152831488
1252,4.625,1686761099152831488
1261,-6.375,1686761099574909952
1261,8.625,1686761099574909952
1267,-5.375,1686761099859595008
1267,5.625,1686761099860592640
1268,-5.375,1686761099904900864
1268,5.625,1686761099905860608
1273,5.625,1686761100138316288
1273,-5.375,1686761100139767296
1275,-6.375,1686761100233286400
1275,8.625,1686761100233286400
1277,-5.375,1686761100327769600
1277,5.625,1686761100328767488
1278,-6.375,1686761100375015168
1278,5.625,1686761100375457792
1283,-6.375,1686761100608498432
1283,5.625,1686761100609496320
1285,-6.375,1686761100704769280
1285,5.625,1686761100706097920
1290,-5.375,1686761100938047488
1290,6.625,1686761100939043072
1293,-5.375,1686761101080265728
1293,6.625,1686761101081088768
1295,8.625,1686761101176735232
1295,-4.375,1686761101176735232
1296,-2.375,1686761101224661504
1296,10.625,1686761101225658880
1297,-6.375,1686761101268543488
1297,6.625,1686761101268543488
1305,-5.375,1686761101660649984
1305,7.625,1686761101661613568
1307,7.625,1686761101754058752
1307,-4.375,1686761101754058752
1308,7.625,1686761101801803008
1308,-4.375,1686761101801803008
1617,-5.375,1686761116481277696
1617,7.625,1686761116481277696
1618,6.625,1686761116530598400
1618,-5.375,1686761116531597312
1620,-4.375,1686761116625275392
1620,7.625,1686761116626240512
1623,-5.375,1686761116769243648
1623,5.625,1686761116770236672
1624,-6.375,1686761116814764800
1624,5.625,1686761116815714816
1627,-4.375,1686761116957393920
1627,7.625,1686761116958390272
1632,-4.375,1686761117192120320
1632,6.625,1686761117193780224
1633,-4.375,1686761117241277184
1633,6.625,1686761117242266368
1635,-4.375,1686761117335230720
1635,6.625,1686761117335230720
1636,6.625,1686761117383955200
1636,-4.375,1686761117383955200
1638,-5.375,1686761117476425216
1638,6.625,1686761117477391104
1643,-4.375,1686761117712562944
1643,6.625,1686761117713560576
1644,-4.375,1686761117760400896
1644,6.625,1686761117762396672
1646,-4.375,1686761117860262144
1646,6.625,1686761117861257984
1650,-4.375,1686761118049331968
1650,6.625,1686761118050328576
1653,-4.375,1686761118190899200
1653,6.625,1686761118190899200
1654,-4.375,1686761118237703168
1654,7.625,1686761118237703168
1655,-3.375,1686761118283178752
1655,7.625,1686761118283178752
1656,-3.375,1686761118331593472
1656,7.625,1686761118332620032
1663,-3.375,1686761118660115200
1663,7.625,1686761118661112576
1666,-4.375,1686761118801700864
1666,6.625,1686761118803574528
1673,5.625,1686761119131940864
1673,-5.375,1686761119131940864
1674,4.625,1686761119178129664
1674,-7.375,1686761119179098880
1676,-5.375,1686761119272308992
1676,6.625,1686761119272308992
1677,-6.375,1686761119318502912
1677,5.625,1686761119319777536
1679,-6.375,1686761119413163264
1679,4.625,1686761119414161920
1681,-6.375,1686761119506674432
1681,4.625,1686761119507250176
1682,-6.375,1686761119553408000
1682,4.625,1686761119554009088
1685,-6.375,1686761119694056704
1685,4.625,1686761119695019264
1686,-6.375,1686761119741507840
1686,4.625,1686761119742504704
1693,-6.375,1686761120066920704
1693,4.625,1686761120067918336
1694,-6.375,1686761120112768256
1694,4.625,1686761120113736448
1695,-6.375,1686761120158492928
1695,4.625,1686761120159963904
1696,-6.375,1686761120205489408
1696,4.625,1686761120205489408
1697,-6.375,1686761120252691712
1697,4.625,1686761120253944576
1698,-6.375,1686761120298995712
1698,4.625,1686761120298995712
1702,-6.375,1686761120488208896
1702,4.625,1686761120489171456
1703,-6.375,1686761120534751488
1703,4.625,1686761120535533824
1704,-6.375,1686761120581468928
1704,4.625,1686761120583347968
1705,-6.375,1686761120627453184
1705,4.625,1686761120627453184
1706,-6.375,1686761120674693376
1706,4.625,1686761120674693376
1707,-6.375,1686761120720998912
1707,4.625,1686761120720998912
1709,4.625,1686761120814445824
1709,-6.375,1686761120815443200
1710,-6.375,1686761120861296640
1710,4.625,1686761120862269440
1712,-6.375,1686761120956242688
1712,4.625,1686761120957235968
1713,-6.375,1686761121003131648
1713,4.625,1686761121004128768
1719,-6.375,1686761121287441152
1719,4.625,1686761121287441152
1721,-6.375,1686761121382596608
1721,4.625,1686761121382596608
1722,-6.375,1686761121430989824
1722,4.625,1686761121430989824
1723,-6.375,1686761121478064640
1723,4.625,1686761121478064640
1724,-6.375,1686761121524339712
1724,4.625,1686761121525335296
1725,-6.375,1686761121572712192
1725,4.625,1686761121572712192
1727,-6.375,1686761121667797504
1727,4.625,1686761121667797504
1731,-6.375,1686761121858331392
1731,4.625,1686761121859299584
1734,-7.375,1686761122002573312
1734,3.625,1686761122003569408
1862,6.625,1686761128050378240
1862,-4.375,1686761128050378240
1863,-6.375,1686761128096875520
1863,5.625,1686761128096875520
1869,6.625,1686761128382327808
1869,-5.375,1686761128383035904
1877,-4.375,1686761128760422144
1877,6.625,1686761128760422144
1878,-4.375,1686761128806273792
1878,6.625,1686761128806273792
1882,-4.375,1686761128993857536
1882,6.625,1686761128994854400
1883,-3.375,1686761129040146176
1883,7.625,1686761129041145600
1885,-5.375,1686761129134648320
1885,6.625,1686761129136072192
1887,-5.375,1686761129230440704
1887,6.625,1686761129231432960
1890,-3.375,1686761129370341376
1890,7.625,1686761129371340544
1898,-4.375,1686761129742595584
1898,7.625,1686761129743593216
1899,-5.375,1686761129785999104
1899,6.625,1686761129786995456
1902,-5.375,1686761129926796544
1902,6.625,1686761129926796544
1904,-3.375,1686761130019327744
1904,7.625,1686761130020183808
1906,6.625,1686761130112748032
1906,-5.375,1686761130112748032
1907,-4.375,1686761130159609600
1907,6.625,1686761130160607232
1908,-4.375,1686761130204694016
1908,6.625,1686761130204694016
1909,-5.375,1686761130249433344
1909,9.625,1686761130250398464
1917,-4.375,1686761130625943040
1917,6.625,1686761130626830336
1922,-6.375,1686761130859180032
1922,4.625,1686761130859180032
1923,-6.375,1686761130907319040
1923,5.625,1686761130907319040
1928,-6.375,1686761131136010496
1928,4.625,1686761131137179904
1930,-7.375,1686761131228571136
1930,4.625,1686761131229568000
1931,-6.375,1686761131275150080
1931,4.625,1686761131276118016
1935,-6.375,1686761131463210240
1935,4.625,1686761131464546560
1936,-6.375,1686761131511828224
1936,4.625,1686761131512824064
1937,-6.375,1686761131558639360
1937,4.625,1686761131559604480
1938,-6.375,1686761131607385088
1938,4.625,1686761131607385088
1941,-7.375,1686761131751387392
1941,4.625,1686761131751387392
1947,-6.375,1686761132034487296
1947,4.625,1686761132035098112
1948,-6.375,1686761132080716544
1948,4.625,1686761132081714688
1949,-7.375,1686761132127068160
1949,4.625,1686761132128033280
1950,-6.375,1686761132174743808
1950,4.625,1686761132174743808
1952,-6.375,1686761132268525056
1952,4.625,1686761132269800704
1953,-6.375,1686761132315217408
1953,4.625,1686761132316182016
1954,-6.375,1686761132362443008
1954,4.625,1686761132362443008
1955,-6.375,1686761132412777728
1955,4.625,1686761132413763840
1956,-6.375,1686761132458897408
1956,4.625,1686761132459888384
1957,-6.375,1686761132507919872
1957,4.625,1686761132507919872
1958,4.625,1686761132557403136
1958,-6.375,1686761132557403136
1959,-6.375,1686761132605413120
1959,4.625,1686761132606617856
1960,-6.375,1686761132653434368
1960,4.625,1686761132653434368
1963,-6.375,1686761132795435776
1963,4.625,1686761132795435776
1964,-6.375,1686761132841812224
1964,4.625,1686761132841812224
1965,4.625,1686761132890265088
1965,-6.375,1686761132891205376
1966,-6.375,1686761132939407360
1966,4.625,1686761132940413440
1968,-6.375,1686761133032101376
1968,4.625,1686761133033098496
1969,-6.375,1686761133078885120
1969,4.625,1686761133080358912
1970,-6.375,1686761133126301184
1970,4.625,1686761133126301184
1971,-6.375,1686761133175575040
1971,4.625,1686761133175575040
1973,-6.375,1686761133270563328
1973,4.625,1686761133271560704
1974,-6.375,1686761133317432832
1974,4.625,1686761133317432832
1975,-6.375,1686761133363346432
1975,4.625,1686761133364003328
1977,-6.375,1686761133457093632
1977,4.625,1686761133458091264
2104,-4.375,1686761139449381632
2104,8.625,1686761139450379520
2107,-7.375,1686761139590116608
2107,4.625,1686761139591110400
2109,-3.375,1686761139684236544
2109,8.625,1686761139684236544
2110,-4.375,1686761139731013888
2110,7.625,1686761139731013888
2114,-4.375,1686761139919745024
2114,6.625,1686761139920735488
2129,7.625,1686761140622697728
2129,-4.375,1686761140623696384
2134,-4.375,1686761140862424576
2134,6.625,1686761140864507648
2135,-4.375,1686761140913177856
2135,6.625,1686761140913595904
2137,-4.375,1686761141008732928
2137,6.625,1686761141009730304
2138,-4.375,1686761141056218624
2138,6.625,1686761141056218624
2139,-4.375,1686761141102305024
2139,6.625,1686761141102305024
2140,-4.375,1686761141150392064
2140,6.625,1686761141150392064
2142,-4.375,1686761141244563456
2142,6.625,1686761141245530112
2146,-4.375,1686761141439219968
2146,6.625,1686761141439219968
2147,-4.375,1686761141484314880
2147,6.625,1686761141484314880
2148,-4.375,1686761141530062592
2148,6.625,1686761141530877696
2161,7.625,1686761142138822912
2161,-3.375,1686761142140807680
2163,-7.375,1686761142239514624
2163,4.625,1686761142240509184
2167,-6.375,1686761142422629120
2167,5.625,1686761142423626496
2169,-6.375,1686761142518236672
2169,4.625,1686761142519232256
2172,-6.375,1686761142662786560
2172,4.625,1686761142662786560
2176,-6.375,1686761142854731520
2176,4.625,1686761142856452608
2179,-6.375,1686761142996874496
2179,4.625,1686761142996874496
2182,-6.375,1686761143137221888
2182,4.625,1686761143137221888
2183,-6.375,1686761143182553600
2183,4.625,1686761143182553600
2184,-6.375,1686761143229725184
2184,4.625,1686761143229725184
2185,-6.375,1686761143276992256
2185,4.625,1686761143276992256
2193,-7.375,1686761143650357504
2193,4.625,1686761143651350784
2194,-7.375,1686761143696215552
2194,4.625,1686761143697213696
2197,-7.375,1686761143837058304
2197,4.625,1686761143837058304
2198,-7.375,1686761143886326016
2198,4.625,1686761143887323392
2199,-6.375,1686761143933157120
2199,4.625,1686761143934766592
2204,-6.375,1686761144166222080
2204,4.625,1686761144167187968
2205,-6.375,1686761144214013440
2205,4.625,1686761144215457280
2206,4.625,1686761144261029888
2206,-7.375,1686761144261029888
2209,-6.375,1686761144404225024
2209,4.625,1686761144404225024
2210,-6.375,1686761144450645760
2210,4.625,1686761144450645760
2214,-6.375,1686761144639003136
2214,4.625,1686761144640274944
2216,-6.375,1686761144734467328
2216,4.625,1686761144735433728
2219,-6.375,1686761144878856448
2219,4.625,1686761144878856448
2220,-6.375,1686761144925900800
2220,4.625,1686761144926575616
2221,-6.375,1686761144975187712
2221,4.625,1686761144975187712
2223,-10.375,1686761145068412672
2223,2.625,1686761145069376000
2336,-3.375,1686761150380287232
2336,8.625,1686761150381283840
2341,6.625,1686761150611699712
2341,-4.375,1686761150612369920
2342,-4.375,1686761150659226880
2342,7.625,1686761150660223232
2344,5.625,1686761150751684864
2344,-6.375,1686761150752681984
2345,-6.375,1686761150799852032
2345,8.625,1686761150799852032
2347,-3.375,1686761150893871104
2347,8.625,1686761150893871104
2348,-4.375,1686761150941451520
2348,7.625,1686761150942448640
2352,-4.375,1686761151130285312
2352,7.625,1686761151131282944
2354,-5.375,1686761151224289792
2354,6.625,1686761151224289792
2355,6.625,1686761151270318592
2355,-4.375,1686761151271283200
2361,-5.375,1686761151550173696
2361,6.625,1686761151551205120
2363,-4.375,1686761151642674688
2363,6.625,1686761151643665408
2364,7.625,1686761151690211328
2364,-4.375,1686761151690211328
2366,-4.375,1686761151784591104
2366,7.625,1686761151784591104
2368,-6.375,1686761151878880512
2368,5.625,1686761151879877888
2369,-5.375,1686761151925898752
